Line 936: depth 7 (0 opens, 1 closes)
Line 938: depth 6 (0 opens, 1 closes)
Line 942: depth 7 (1 opens, 0 closes)
Line 944: depth 8 (1 opens, 0 closes)
Line 945: depth 9 (1 opens, 0 closes)
Line 946: depth 10 (1 opens, 0 closes)
Line 947: depth 11 (1 opens, 0 closes)
Line 949: depth 10 (0 opens, 1 closes)
Line 957: depth 9 (0 opens, 1 closes)
Line 958: depth 10 (1 opens, 0 closes)
Line 962: depth 9 (0 opens, 1 closes)
Line 963: depth 8 (0 opens, 1 closes)
Line 964: depth 9 (1 opens, 0 closes)
Line 965: depth 10 (1 opens, 0 closes)
Line 974: depth 9 (0 opens, 1 closes)
Line 975: depth 10 (1 opens, 0 closes)
Line 984: depth 9 (0 opens, 1 closes)
Line 985: depth 8 (0 opens, 1 closes)
Line 986: depth 7 (0 opens, 1 closes)
Line 988: depth 6 (0 opens, 1 closes)
Line 992: depth 7 (1 opens, 0 closes)
Line 993: depth 8 (1 opens, 0 closes)
Line 994: depth 9 (1 opens, 0 closes)
Line 996: depth 8 (0 opens, 1 closes)
Line 998: depth 7 (0 opens, 1 closes)
Line 999: depth 8 (1 opens, 0 closes)
Line 1000: depth 9 (1 opens, 0 closes)
Line 1009: depth 8 (0 opens, 1 closes)
Line 1010: depth 9 (1 opens, 0 closes)
Line 1012: depth 10 (1 opens, 0 closes)
Line 1030: depth 9 (0 opens, 1 closes)
Line 1031: depth 8 (0 opens, 1 closes)
Line 1032: depth 7 (0 opens, 1 closes)
Line 1055: depth 6 (0 opens, 1 closes)
Line 1057: depth 7 (1 opens, 0 closes)
Line 1061: depth 8 (1 opens, 0 closes)
Line 1062: depth 9 (1 opens, 0 closes)
Line 1063: depth 10 (1 opens, 0 closes)
Line 1072: depth 9 (0 opens, 1 closes)
Line 1073: depth 10 (1 opens, 0 closes)
Line 1075: depth 11 (1 opens, 0 closes)
Line 1093: depth 10 (0 opens, 1 closes)
Line 1094: depth 9 (0 opens, 1 closes)
Line 1095: depth 8 (0 opens, 1 closes)
Line 1097: depth 9 (1 opens, 0 closes)
Line 1099: depth 10 (1 opens, 0 closes)
Line 1101: depth 9 (0 opens, 1 closes)
Line 1106: depth 10 (1 opens, 0 closes)
Line 1108: depth 9 (0 opens, 1 closes)
Line 1182: depth 8 (0 opens, 1 closes)
Line 1185: depth 9 (1 opens, 0 closes)
Line 1187: depth 10 (1 opens, 0 closes)
Line 1188: depth 11 (1 opens, 0 closes)
Line 1189: depth 12 (1 opens, 0 closes)
Line 1191: depth 11 (0 opens, 1 closes)
Line 1192: depth 12 (1 opens, 0 closes)
Line 1197: depth 11 (0 opens, 1 closes)
Line 1198: depth 10 (0 opens, 1 closes)
Line 1202: depth 9 (0 opens, 1 closes)
Line 1204: depth 8 (0 opens, 1 closes)
Line 1205: depth 7 (0 opens, 1 closes)
Line 1208: depth 8 (1 opens, 0 closes)
Line 1209: depth 9 (1 opens, 0 closes)
Line 1210: depth 10 (1 opens, 0 closes)
Line 1212: depth 9 (0 opens, 1 closes)
Line 1214: depth 8 (0 opens, 1 closes)
Line 1216: depth 9 (1 opens, 0 closes)
Line 1244: depth 8 (0 opens, 1 closes)
Line 1246: depth 9 (1 opens, 0 closes)
Line 1248: depth 10 (1 opens, 0 closes)
Line 1249: depth 11 (1 opens, 0 closes)
Line 1254: depth 10 (0 opens, 1 closes)
