Line 550: depth 8 (1 opens, 0 closes)
Line 551: depth 8 (0 opens, 0 closes)
Line 552: depth 7 (0 opens, 1 closes)
Line 553: depth 8 (1 opens, 0 closes)
Line 554: depth 8 (0 opens, 0 closes)
Line 555: depth 8 (0 opens, 0 closes)
Line 556: depth 7 (0 opens, 1 closes)
Line 557: depth 6 (0 opens, 1 closes)
Line 558: depth 6 (0 opens, 0 closes)
Line 559: depth 6 (0 opens, 0 closes)
Line 560: depth 6 (0 opens, 0 closes)
Line 561: depth 6 (0 opens, 0 closes)
Line 562: depth 6 (0 opens, 0 closes)
Line 563: depth 6 (0 opens, 0 closes)
Line 564: depth 6 (0 opens, 0 closes)
Line 565: depth 5 (0 opens, 1 closes)
Line 566: depth 4 (0 opens, 1 closes)
Line 567: depth 3 (0 opens, 1 closes)
Line 568: depth 3 (0 opens, 0 closes)
Line 569: depth 3 (0 opens, 0 closes)
Line 570: depth 3 (0 opens, 0 closes)
Line 571: depth 4 (1 opens, 0 closes)
Line 572: depth 4 (0 opens, 0 closes)
Line 573: depth 5 (1 opens, 0 closes)
Line 574: depth 6 (1 opens, 0 closes)
Line 575: depth 6 (0 opens, 0 closes)
Line 576: depth 6 (0 opens, 0 closes)
Line 577: depth 6 (0 opens, 0 closes)
Line 578: depth 5 (0 opens, 1 closes)
Line 579: depth 5 (0 opens, 0 closes)
Line 580: depth 6 (1 opens, 0 closes)
Line 581: depth 7 (1 opens, 0 closes)
Line 582: depth 7 (0 opens, 0 closes)
Line 583: depth 7 (0 opens, 0 closes)
Line 584: depth 7 (0 opens, 0 closes)
Line 585: depth 7 (0 opens, 0 closes)
Line 586: depth 7 (0 opens, 0 closes)
Line 587: depth 7 (0 opens, 0 closes)
Line 588: depth 7 (0 opens, 0 closes)
Line 589: depth 7 (0 opens, 0 closes)
Line 590: depth 7 (0 opens, 0 closes)
Line 591: depth 7 (0 opens, 0 closes)
Line 592: depth 7 (0 opens, 0 closes)
Line 593: depth 7 (0 opens, 0 closes)
Line 594: depth 7 (0 opens, 0 closes)
Line 595: depth 8 (1 opens, 0 closes)
Line 596: depth 9 (1 opens, 0 closes)
Line 597: depth 9 (0 opens, 0 closes)
Line 598: depth 9 (0 opens, 0 closes)
Line 599: depth 9 (0 opens, 0 closes)
Line 600: depth 9 (0 opens, 0 closes)
Line 601: depth 9 (0 opens, 0 closes)
Line 602: depth 9 (0 opens, 0 closes)
Line 603: depth 9 (0 opens, 0 closes)
Line 604: depth 8 (0 opens, 1 closes)
Line 605: depth 9 (1 opens, 0 closes)
Line 606: depth 9 (0 opens, 0 closes)
Line 607: depth 9 (0 opens, 0 closes)
Line 608: depth 9 (0 opens, 0 closes)
